eposide,reward,step
1,31.0,31
2,21.0,52
3,12.0,64
4,36.0,100
5,12.0,112
6,13.0,125
7,26.0,151
8,13.0,164
9,19.0,183
10,17.0,200
11,18.0,218
12,36.0,254
13,20.0,274
14,17.0,291
15,60.0,351
16,20.0,371
17,32.0,403
18,50.0,453
19,21.0,474
20,23.0,497
21,15.0,512
22,16.0,528
23,10.0,538
24,29.0,567
25,32.0,599
26,88.0,687
27,53.0,740
28,108.0,848
29,45.0,893
30,64.0,957
31,99.0,1056
32,80.0,1136
33,114.0,1250
34,98.0,1348
35,55.0,1403
36,69.0,1472
37,202.0,1674
38,84.0,1758
39,107.0,1865
40,53.0,1918
41,141.0,2059
42,96.0,2155
43,153.0,2308
44,86.0,2394
45,44.0,2438
46,146.0,2584
47,109.0,2693
48,147.0,2840
49,84.0,2924
50,393.0,3317
51,145.0,3462
52,218.0,3680
53,168.0,3848
54,182.0,4030
55,179.0,4209
56,149.0,4358
57,148.0,4506
58,122.0,4628
59,137.0,4765
60,89.0,4854
61,189.0,5043
62,262.0,5305
63,106.0,5411
64,193.0,5604
65,245.0,5849
66,209.0,6058
67,128.0,6186
68,258.0,6444
69,163.0,6607
70,248.0,6855
71,252.0,7107
72,238.0,7345
73,249.0,7594
74,275.0,7869
75,320.0,8189
76,231.0,8420
77,325.0,8745
78,272.0,9017
79,500.0,9517
80,328.0,9845
81,430.0,10275
82,499.0,10774
83,316.0,11090
84,500.0,11590
85,332.0,11922
86,393.0,12315
87,362.0,12677
88,500.0,13177
89,423.0,13600
90,500.0,14100
91,469.0,14569
92,500.0,15069
93,500.0,15569
94,297.0,15866
95,500.0,16366
96,451.0,16817
97,293.0,17110
98,500.0,17610
99,500.0,18110
100,500.0,18610
101,500.0,19110
102,447.0,19557
103,500.0,20057
104,473.0,20530
105,500.0,21030
106,192.0,21222
107,500.0,21722
108,500.0,22222
109,223.0,22445
110,268.0,22713
111,500.0,23213
112,500.0,23713
113,500.0,24213
114,487.0,24700
115,500.0,25200
116,500.0,25700
117,500.0,26200
118,500.0,26700
119,390.0,27090
120,500.0,27590
121,500.0,28090
122,500.0,28590
123,337.0,28927
124,400.0,29327
125,500.0,29827
126,500.0,30327
127,500.0,30827
128,500.0,31327
129,500.0,31827
130,390.0,32217
131,500.0,32717
132,453.0,33170
133,500.0,33670
134,357.0,34027
135,500.0,34527
136,500.0,35027
137,500.0,35527
138,491.0,36018
139,316.0,36334
140,500.0,36834
141,500.0,37334
142,500.0,37834
143,500.0,38334
144,370.0,38704
145,500.0,39204
146,487.0,39691
147,500.0,40191
148,500.0,40691
149,500.0,41191
150,500.0,41691
151,500.0,42191
152,500.0,42691
153,500.0,43191
154,500.0,43691
155,500.0,44191
156,500.0,44691
157,500.0,45191
158,500.0,45691
159,500.0,46191
160,500.0,46691
161,500.0,47191
162,500.0,47691
163,500.0,48191
164,500.0,48691
165,500.0,49191
166,500.0,49691
167,500.0,50191
168,500.0,50691
169,500.0,51191
170,500.0,51691
171,500.0,52191
172,500.0,52691
173,500.0,53191
174,500.0,53691
175,500.0,54191
176,500.0,54691
177,500.0,55191
178,500.0,55691
179,500.0,56191
180,349.0,56540
181,500.0,57040
182,500.0,57540
183,500.0,58040
184,500.0,58540
185,350.0,58890
186,500.0,59390
187,500.0,59890
188,500.0,60390
189,500.0,60890
190,500.0,61390
191,500.0,61890
192,500.0,62390
193,500.0,62890
194,454.0,63344
195,500.0,63844
196,500.0,64344
197,500.0,64844
198,500.0,65344
199,500.0,65844
200,500.0,66344
201,500.0,66844
202,500.0,67344
203,500.0,67844
204,500.0,68344
205,500.0,68844
206,500.0,69344
207,500.0,69844
208,500.0,70344
209,500.0,70844
210,500.0,71344
211,500.0,71844
212,500.0,72344
213,500.0,72844
214,500.0,73344
215,500.0,73844
216,500.0,74344
217,500.0,74844
218,500.0,75344
219,500.0,75844
220,500.0,76344
221,500.0,76844
222,500.0,77344
223,500.0,77844
224,500.0,78344
225,500.0,78844
226,500.0,79344
227,500.0,79844
228,500.0,80344
229,500.0,80844
230,500.0,81344
231,500.0,81844
232,500.0,82344
233,500.0,82844
234,500.0,83344
235,500.0,83844
236,500.0,84344
237,500.0,84844
238,500.0,85344
239,500.0,85844
240,500.0,86344
241,500.0,86844
242,500.0,87344
243,500.0,87844
244,500.0,88344
245,500.0,88844
246,500.0,89344
247,500.0,89844
248,500.0,90344
249,500.0,90844
250,500.0,91344
251,500.0,91844
252,500.0,92344
253,500.0,92844
254,500.0,93344
255,149.0,93493
256,500.0,93993
257,500.0,94493
258,500.0,94993
259,500.0,95493
260,500.0,95993
261,500.0,96493
262,500.0,96993
263,500.0,97493
264,500.0,97993
265,500.0,98493
266,500.0,98993
267,500.0,99493
268,500.0,99993
269,500.0,100493
270,500.0,100993
271,500.0,101493
272,500.0,101993
273,500.0,102493
274,500.0,102993
275,500.0,103493
276,500.0,103993
277,500.0,104493
278,500.0,104993
279,500.0,105493
280,500.0,105993
281,500.0,106493
282,500.0,106993
283,500.0,107493
284,500.0,107993
285,500.0,108493
286,500.0,108993
287,500.0,109493
288,500.0,109993
289,500.0,110493
290,500.0,110993
291,500.0,111493
292,500.0,111993
293,500.0,112493
294,500.0,112993
295,500.0,113493
296,500.0,113993
297,500.0,114493
298,500.0,114993
299,500.0,115493
300,500.0,115993
301,500.0,116493
302,500.0,116993
303,500.0,117493
304,500.0,117993
305,500.0,118493
306,500.0,118993
307,500.0,119493
308,500.0,119993
309,500.0,120493
310,500.0,120993
311,500.0,121493
312,500.0,121993
313,500.0,122493
314,500.0,122993
315,500.0,123493
316,500.0,123993
317,500.0,124493
318,500.0,124993
319,500.0,125493
320,500.0,125993
321,500.0,126493
322,500.0,126993
323,500.0,127493
324,500.0,127993
325,500.0,128493
326,500.0,128993
327,500.0,129493
328,500.0,129993
329,500.0,130493
330,500.0,130993
331,500.0,131493
332,500.0,131993
333,500.0,132493
334,500.0,132993
335,500.0,133493
336,500.0,133993
337,500.0,134493
338,500.0,134993
339,500.0,135493
340,500.0,135993
341,500.0,136493
342,500.0,136993
343,500.0,137493
344,500.0,137993
345,500.0,138493
346,500.0,138993
347,500.0,139493
348,500.0,139993
349,500.0,140493
350,500.0,140993
351,500.0,141493
352,500.0,141993
353,500.0,142493
354,500.0,142993
355,500.0,143493
356,500.0,143993
357,500.0,144493
358,500.0,144993
359,500.0,145493
360,500.0,145993
361,500.0,146493
362,500.0,146993
363,500.0,147493
364,500.0,147993
365,500.0,148493
366,500.0,148993
367,500.0,149493
368,500.0,149993
369,500.0,150493
370,500.0,150993
371,500.0,151493
372,500.0,151993
373,500.0,152493
374,500.0,152993
375,500.0,153493
376,500.0,153993
377,500.0,154493
378,500.0,154993
379,500.0,155493
380,500.0,155993
381,500.0,156493
382,500.0,156993
383,500.0,157493
384,500.0,157993
385,500.0,158493
386,500.0,158993
387,500.0,159493
388,500.0,159993
389,500.0,160493
390,500.0,160993
391,500.0,161493
392,500.0,161993
393,500.0,162493
394,500.0,162993
395,500.0,163493
396,500.0,163993
397,500.0,164493
398,500.0,164993
399,500.0,165493
400,500.0,165993
401,500.0,166493
402,500.0,166993
403,500.0,167493
404,500.0,167993
405,500.0,168493
406,500.0,168993
407,500.0,169493
408,500.0,169993
409,500.0,170493
410,500.0,170993
411,500.0,171493
412,500.0,171993
413,500.0,172493
414,500.0,172993
415,500.0,173493
416,500.0,173993
417,500.0,174493
418,500.0,174993
419,500.0,175493
420,500.0,175993
421,500.0,176493
422,500.0,176993
423,500.0,177493
424,500.0,177993
425,500.0,178493
426,500.0,178993
427,500.0,179493
428,500.0,179993
429,500.0,180493
430,500.0,180993
431,500.0,181493
432,500.0,181993
433,500.0,182493
434,500.0,182993
435,500.0,183493
436,500.0,183993
437,500.0,184493
438,500.0,184993
439,500.0,185493
440,500.0,185993
441,500.0,186493
442,500.0,186993
443,500.0,187493
444,500.0,187993
445,500.0,188493
446,500.0,188993
447,500.0,189493
448,500.0,189993
449,500.0,190493
450,500.0,190993
451,500.0,191493
452,500.0,191993
453,500.0,192493
454,500.0,192993
455,500.0,193493
456,500.0,193993
457,500.0,194493
458,500.0,194993
459,500.0,195493
460,500.0,195993
461,500.0,196493
462,500.0,196993
463,500.0,197493
464,500.0,197993
465,500.0,198493
466,500.0,198993
467,500.0,199493
468,500.0,199993
469,500.0,200493
470,500.0,200993
471,500.0,201493
472,500.0,201993
473,500.0,202493
474,500.0,202993
475,500.0,203493
476,500.0,203993
477,500.0,204493
478,500.0,204993
479,500.0,205493
480,236.0,205729
481,500.0,206229
482,500.0,206729
483,500.0,207229
484,500.0,207729
485,500.0,208229
486,500.0,208729
487,500.0,209229
488,500.0,209729
489,500.0,210229
490,500.0,210729
491,500.0,211229
492,500.0,211729
493,500.0,212229
494,500.0,212729
495,500.0,213229
496,500.0,213729
497,500.0,214229
498,500.0,214729
499,500.0,215229
500,500.0,215729
